id,mentor,mentor_school,education,income_log,gpa
57103869,0,97,11,16.12,0.77
57111071,0,97,15,10.2,3.21
57133772,1,11,14,10.04,3.21
57136630,1,11,15,10.55,3.44
57138056,0,97,15,16.12,0.3
57139880,1,12,17,10.46,3.16
57145151,0,97,17,10.31,3.98
57146734,1,12,20,8.99,3.21
57154779,0,97,11,0,0
57159952,0,97,22,11.37,3.69
57165081,1,11,13,9.9,2.38
57177419,0,97,15,9.74,2.63
57178110,1,11,15,10.65,2.72
57178982,0,97,13,9.9,1.45
57186582,0,97,15,10.92,3.44
57212347,1,11,11,9.73,1.14
57213037,0,97,15,10.74,1.77
57213527,0,97,15,9.62,2.43
57218874,0,97,17,0.69,2.07
57220955,1,11,19,0,3.95
57228523,0,97,15,11.46,1.13
57230940,0,97,17,10.13,2.62
57231300,1,11,17,10.31,3.07
57241075,0,97,15,9.74,1.5
57245315,0,97,15,8.29,1.68
57275298,1,11,13,8.7,2.3
88191364,0,97,15,10,2.31
90316053,0,97,14,10.2,2.96
90316656,1,11,18,16.12,3.59
90500459,1,11,13,9.83,1.57
90500516,1,11,13,10.65,2.54
90503807,1,12,17,10.88,3.62
90504603,0,97,15,9.9,1.75
90506094,0,97,13.5,10.82,2.2
90506236,1,11,19,10.92,3.84
90506268,0,97,15,10.46,2.04
90506472,1,11,13.5,0,1.86
90506828,0,97,14,7.6,3.04
90506849,1,11,13,10.6,2.44
90508165,1,11,15,10.2,2.36
90543102,0,97,14,10.82,3.36
90543104,1,11,15,16.12,2.54
90570184,0,97,15,0,2.64
90570190,1,11,15,10.49,2.96
90570222,1,12,15,9.68,1.8
90570280,1,11,14,10.37,2.12
90570655,0,97,15,9.85,2.29
90570778,0,97,15,10.2,2.22
90571217,0,97,15,10.46,2.53
90571315,1,11,17,10.82,2.57
90571461,1,11,15,10.92,2.29
90571805,1,11,15,11.34,2.46
90571816,1,11,19,10.6,3.06
90571913,0,97,15,10.76,2.82
90572049,0,97,13,10.31,2.73
90572070,0,97,13.5,11,2.55
90572172,0,97,19,10.6,2.71
90572280,0,97,11,0,1.77
90572285,0,97,14,10.31,3.16
90572303,1,11,17,10.43,3.87
90572323,0,97,15,7.65,3.04
90572341,0,97,15,10.6,2.77
90572393,1,12,17,10.71,3.16
90572448,0,97,11,10.6,1.32
90572469,1,12,17,10.93,3.69
90572900,0,97,22,10.46,3.98
90572925,1,11,11,9.19,0.93
90572991,0,97,13,0,2
90573212,1,12,15,10.28,2.25
90573491,0,97,13,0,1.66
90573954,1,12,17,10.31,3.05
90573959,1,11,17,9.31,3.4
90573992,0,97,17,10.37,3.08
90574133,0,97,13,16.12,2.29
90574307,1,11,19,10.62,2.91
90574392,0,97,13,16.12,3.6
90574503,0,97,15,9.31,2.8
90574918,0,97,14,10.31,1.54
90575126,0,97,14,10.31,0.77
90575158,0,97,15,10.13,1.57
90575229,0,97,15,12.56,1.7
90575263,0,97,17,0,2.62
90575288,0,97,13,9.62,2.05
90575378,1,11,18,10.13,3.71
90575623,1,11,15,9.9,2.7
90575834,0,97,18,10.84,3.36
90575871,1,12,17,13.82,2.87
90575919,1,11,17,10.69,2.62
90575931,1,11,18,10.6,3.33
90575948,1,11,17,10.78,3.42
90575982,0,97,13,7.09,1.85
90576057,1,11,17,9.39,3.56
90576117,0,97,13,10.82,2.9
90576119,1,12,15,8.78,3.52
90576248,0,97,17,10.24,2.88
90576285,1,11,19,10.55,3.47
90576445,0,97,15,10.13,3.02
90576481,1,11,15,10.22,1.29
90576485,1,11,15,10.52,3.12
90576758,0,97,11,10.13,0.44
90576837,1,11,17,8.01,3.69
90576919,0,97,15,11,1.88
90576928,1,11,15,10.74,2.16
90576942,0,97,13,10.6,2.14
90576948,0,97,14,8.99,1.8
90577119,1,11,13,8.52,2.87
90577227,1,12,20,10.13,4
90577259,0,97,15,10,2.53
90577322,1,12,17,10.31,2.62
90577782,1,11,17,16.12,2.91
90577817,1,11,22,11.02,3.71
90577928,0,97,15,12.07,2.69
90578004,0,97,15,8.01,1.79
90578025,0,97,19,10.76,3.02
90578044,0,97,15,10.13,2.83
90578203,0,97,13,10.62,1.92
90578288,0,97,13,16.12,3.87
90578380,0,97,13,9.58,1.77
90578496,0,97,13,9.95,3.14
90578587,0,97,15,8.29,2.55
90578618,1,11,18,10.24,3.17
90578806,0,97,15,9.95,1.75
90578813,1,11,19,10.6,4
90578846,0,97,17,10.31,2.93
90578880,0,97,15,1.79,1.72
90578927,0,97,14,9.21,2
90579230,0,97,15,9.74,2.62
90579233,0,97,13,16.12,1.79
90579270,1,12,15,11.13,2.5
90579272,1,11,15,9.21,2.58
90579296,0,97,15,11.63,2.78
90579944,0,97,15,9.55,1.74
90579966,1,12,17,11.92,1
90579990,1,12,13,11.34,2.62
90608976,1,11,17,10.82,2.44
90614371,0,97,13,9.47,3.07
90614876,1,11,18,11,3.08
90619260,1,12,17,9.62,2.98
90619464,1,11,17,10.43,2.79
90619961,1,11,13,10.34,3.37
90676321,1,11,15,11,1.4
90710085,0,97,11,9.31,2.46
90711360,1,11,15,10.62,1.93
90712140,0,97,15,10.37,2.91
90712211,1,12,18,10.82,3.62
90712914,0,97,11,10.31,0.86
90713909,1,11,15,10.57,1.65
90713998,0,97,20,10.6,3.03
90714245,0,97,13,9.62,2.92
90715266,0,97,17,11,3.03
90715294,1,11,15,10.62,2.21
90715353,0,97,13,0,2.04
90715983,0,97,13,11.23,2.42
90715988,1,11,15,9.55,3.02
90716064,1,11,13.5,10.31,1.33
90716390,1,11,11,0,0.85
90716952,1,11,15,10.4,2.29
90716969,1,11,19,10.11,3.57
90716975,1,11,17,11.13,3.98
90716990,0,97,11,6.22,1.52
90718183,0,97,19,10.46,3.31
90718303,0,97,13,10.13,1.54
90718305,1,11,19,9.9,2.69
90718981,0,97,13.5,16.12,3.28
90719275,0,97,15,9.85,3.07
90719939,0,97,17,9.8,2.97
91374970,1,11,20,10.82,3.63
91374975,0,97,15,10.69,2.09
91500977,1,11,19,0,3.67
91504104,0,97,15,10.37,1.42
91504224,1,11,15,10.34,2.31
91504686,0,97,15,10.69,2.21
91506146,0,97,17,10.57,3.39
91506304,1,11,20,10.6,3.49
91506935,1,11,13,10.31,2.5
91507010,1,11,20,10.78,3.85
91507851,1,11,18,4.62,4
91508025,0,97,17,11.84,2.94
91508123,0,97,17,10.88,3.38
91508381,1,11,15,9.9,1.94
91508526,0,97,13,0,2.5
91508766,0,97,13,9.8,2.54
91508836,0,97,18,10.69,3.12
91508873,0,97,15,9.68,2.88
91508948,0,97,13,10.78,1.98
91570095,1,11,15,11.23,1.6
91570110,0,97,11,10.31,2.7
91570187,0,97,13,10.46,1.5
91570425,1,11,15,9.83,2.44
91570497,1,11,15,10.74,2.11
91570525,0,97,13.5,10.31,2.9
91570597,1,11,17,10.9,2.18
91570621,1,11,19,9.21,4
91570692,1,11,17,6.91,3.35
91570823,0,97,13,16.12,1.2
91570986,0,97,11,0,0.7
91571155,0,97,17,10.82,2.31
91571467,0,97,15,10.13,1.45
91571560,1,12,17,10.92,2.94
91571601,0,97,17,10.28,2.83
91571707,1,11,15,0,3.38
91571817,1,11,17,10.65,3.88
91571876,0,97,17,10.4,1.78
91572001,0,97,17,11.16,3.89
91572040,0,97,13,11.4,1.33
91572063,0,97,19,10.6,3.91
91572122,0,97,15,10.55,2.21
91572183,0,97,14,10.49,2.54
91572321,0,97,13,7.78,2.07
91572346,1,12,11,10.39,2.17
91572381,0,97,19,10.93,3.18
91572389,0,97,17,10.82,3.49
